
Text conversion of header file \h820\optphotolab\Drones\DJI__Mavic_3M\viikki-field_calibration__20240523\reflec_3\DN_gravel__00125.asd
 -------------------------------------------------------------
                                                                                                                                                            
The instrument number was  18875/1
New ASD spectrum file: Program version = 6.04 file version = 7.00
Spectrum saved: 05/23/2024 at 17:17:01
VNIR integration time : 68
VNIR channel 1 wavelength = 350 wavelength step = 1
There was one sample per data value
xmin = 350 xmax= 2500
ymin= 0 ymax= 65535
The instrument digitizes spectral values to 16 bits
SWIR1 gain was 16 offset was 2051
SWIR2 gain was 16 offset was 2074
Join between VNIR and SWIR1 was 1000 nm
Join between SWIR1 and SWIR2 was 1800 nm
VNIR dark signal subtracted
100 dark measurements taken Thu May 23 17:12:29 2024
DCC value was 0
Data is not compared to a white reference
There was no foreoptic attached
Spectrum file is raw data with embedded reference
GPS-Latitude is S0
GPS-Longitude is E0
GPS-Altitude is 0
GPS-UTC is 00:00:00

Smart Detector
Serial#  0
Signal (A)  0.000E00
Dark (A)  0.000E00
Ref (A)  0.000E00
Status  0 - Uninitialized
Gain  E-4
Averaging  0
Temp (C)  0.0
Humid (%)  0.0

Wavelength	reflec_penels3-00125.asd
1125	 1128.81264889973 
1126	 1151.59285427921 
1127	 1209.01261383297 
1128	 1288.3390008516 
1129	 1499.32072411887 
1130	 1586.31002356285 
1131	 1635.45293005902 
1132	 1651.25880269686 
1133	 1574.60995334055 
1134	 1513.15801642692 
1135	 1606.93039715705 
1136	 1790.80711693652 
1137	 1961.03090119149 
1138	 2318.96269275485 
1139	 2438.54198835739 
1140	 2497.24213542739 
1141	 2455.82092753269 
1142	 2230.63414084264 
1143	 2079.8733499923 
1144	 1791.05022698567 
1145	 1667.10052471646 
1146	 1620.25658910418 
1147	 1614.17044937803 
1148	 1730.36257676331 
1149	 1882.64680145892 
1150	 1979.38238524176 
1151	 2075.08234562705 
1152	 2191.49946410269 
1153	 2265.14165666383 
1154	 2420.08911845008 
1155	 2655.96678762691 
1156	 2850.03446242494 
1157	 3065.80518373807 
1158	 3267.25089471832 
1159	 3447.09508935075 
1160	 3637.972023496 
1161	 3871.7572455654 
1162	 4046.62744485659 
1163	 4193.62336912902 
1164	 4325.18407638771 
1165	 4440.17118549598 
1166	 4499.69231478439 
1167	 4606.48963490812 
1168	 4745.28337185079 
1169	 4832.09220992372 
1170	 4924.46549167383 
1171	 4967.81988786431 
1172	 4939.84587263445 
1173	 4950.32308387542 
